date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:27	36912/36912	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2020:03:53%20GMT	http://7oroof.com/demos/babette/home-cafe.html	C:/Template/Damai/7oroof.com/demos/babette/home-cafe.html	(from )
15:10:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2008:10:26%20GMT	http://7oroof.com/robots.txt		(from )
15:10:28	737/737	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2020:08:27%20GMT	http://7oroof.com/demos/babette/assets/images/favicon/favicon.png	C:/Template/Damai/7oroof.com/demos/babette/assets/images/favicon/favicon.png	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:31	244027/244027	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Jan%202021%2020:04:31%20GMT	http://7oroof.com/demos/babette/assets/css/libraries.css	C:/Template/Damai/7oroof.com/demos/babette/assets/css/libraries.css	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:32	102330/102330	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Jan%202021%2020:04:28%20GMT	http://7oroof.com/demos/babette/assets/css/style.css	C:/Template/Damai/7oroof.com/demos/babette/assets/css/style.css	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:34	71123/71123	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2020:03:55%20GMT	http://7oroof.com/demos/babette/index.html	C:/Template/Damai/7oroof.com/demos/babette/index.html	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:35	1757/1757	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2020:08:53%20GMT	http://7oroof.com/demos/babette/assets/images/logo/logo-light.png	C:/Template/Damai/7oroof.com/demos/babette/assets/images/logo/logo-light.png	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:35	1678/1678	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2020:08:52%20GMT	http://7oroof.com/demos/babette/assets/images/logo/logo-dark.png	C:/Template/Damai/7oroof.com/demos/babette/assets/images/logo/logo-dark.png	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:35	51583/51583	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2020:03:53%20GMT	http://7oroof.com/demos/babette/home-gourmet.html	C:/Template/Damai/7oroof.com/demos/babette/home-gourmet.html	(from http://7oroof.com/demos/babette/home-cafe.html)
15:10:36	27774/27774	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2020:03:50%20GMT	http://7oroof.com/demos/babette/home-classic.html	C:/Template/Damai/7oroof.com/demos/babette/home-classic.html	(from http://7oroof.com/demos/babette/home-cafe.html)
